# Power Spectral Density estimated with Welch's method
# Raw CSV rows: 1000000
# Preprocess method: reconstructed_uniform_time_axis
# Preprocess details: 原始时间列存在重复时间戳或非均匀步长，因此按首末时间和总样本数重建了均匀时间轴。 检测到 80002 个重复时间块，重复块长度范围为 1 到 10 行。
# Samples used for PSD: 1000000
# Sampling frequency used for PSD (Hz): 999999
# Window: hann
# nperseg: 131072
# noverlap: 65536
# detrend: constant
# Display unit: V^2/Hz
# Display formula: display = PSD_V2_per_Hz
# Reference impedance (Ohm): 50
# Peak count reported: 5
# Minimum peak prominence (dB): 6
# Peak 1: f=69564.74977 Hz, psd_v2_per_hz=1.722620836e-11, prominence_db=17.56305692
# Peak 2: f=40000.87553 Hz, psd_v2_per_hz=1.266751844e-11, prominence_db=16.07189258
# Peak 3: f=65116.81721 Hz, psd_v2_per_hz=8.669987205e-12, prominence_db=13.06382663
# Peak 4: f=17944.31799 Hz, psd_v2_per_hz=7.148190068e-12, prominence_db=12.2700983
# Peak 5: f=475356.5803 Hz, psd_v2_per_hz=6.876615323e-12, prominence_db=15.23737304
frequency_hz,psd_v2_per_hz,psd_v2_per_hz
1770.0177612204966,1.0450437906186073e-12,1.0450437906186073e-12
1777.647148122309,1.5693939493100683e-12,1.5693939493100683e-12
1785.2765350241216,1.1753405313526455e-12,1.1753405313526455e-12
1792.905921925934,1.1797245851438865e-12,1.1797245851438865e-12
1800.5353088277466,1.1408182125392054e-12,1.1408182125392054e-12
1808.164695729559,1.2747536061301728e-12,1.2747536061301728e-12
1815.7940826313716,1.1087994071920763e-12,1.1087994071920763e-12
1823.423469533184,7.548605922443076e-13,7.548605922443076e-13
1831.0528564349966,1.5512457356611822e-12,1.5512457356611822e-12
1838.682243336809,1.8060865153642022e-12,1.8060865153642022e-12
1846.3116302386215,3.1034093220677817e-12,3.1034093220677817e-12
1853.941017140434,2.6961321593477033e-12,2.6961321593477033e-12
1861.5704040422465,1.6881472647816558e-12,1.6881472647816558e-12
1869.1997909440588,1.9641776087527095e-12,1.9641776087527095e-12
1876.8291778458713,1.385988169191573e-12,1.385988169191573e-12
1884.4585647476838,1.070762334431894e-12,1.070762334431894e-12
1892.0879516494963,1.695882114649465e-12,1.695882114649465e-12
1899.7173385513088,1.7787925212240126e-12,1.7787925212240126e-12
1907.3467254531213,1.4572627412108774e-12,1.4572627412108774e-12
1914.9761123549338,1.590192739151789e-12,1.590192739151789e-12
1922.6054992567463,1.9631028026134307e-12,1.9631028026134307e-12
1930.2348861585588,1.5778855666480195e-12,1.5778855666480195e-12
1937.8642730603713,1.3050603112328765e-12,1.3050603112328765e-12
1945.4936599621838,1.457593596346503e-12,1.457593596346503e-12
1953.1230468639963,1.368068735254738e-12,1.368068735254738e-12
1960.7524337658087,9.088689029266854e-13,9.088689029266854e-13
1968.3818206676212,1.9393661939909677e-12,1.9393661939909677e-12
1976.0112075694337,1.956009934302256e-12,1.956009934302256e-12
1983.6405944712462,1.7575365669488756e-12,1.7575365669488756e-12
1991.2699813730587,2.2496860943982344e-12,2.2496860943982344e-12
1998.8993682748712,3.813182021294505e-12,3.813182021294505e-12
2006.5287551766837,2.7721770051039955e-12,2.7721770051039955e-12
2014.1581420784962,1.7163664399875773e-12,1.7163664399875773e-12
2021.7875289803087,2.33563247003043e-12,2.33563247003043e-12
2029.4169158821212,1.4944545932131345e-12,1.4944545932131345e-12
2037.0463027839337,1.5799631287050343e-12,1.5799631287050343e-12
2044.675689685746,1.7421907859835553e-12,1.7421907859835553e-12
